一级分类(清洗后中文器械名),二级分类(中观大类),三级分类(宏观大类),关联器械对数,死亡事件数,伤害事件数,故障事件数,事件总数
Itrel 4 全植入式脊髓刺激器（用于疼痛缓解）,脊髓神经刺激器,神经调控设备,1,0,0,0,0
NNC 骨内牙种植体（12mm，Roxolid，SLActive表面）,骨内牙种植体,口腔种植体,1,0,0,0,0
Orbit Galaxy 可解脱弹簧圈系统,栓塞弹簧圈,血管介入器械,1,0,0,0,0
Seven XD 内六角骨内根形种植体（D3.3 L11.50mm NP）,骨内牙种植体,口腔种植体,1,0,0,0,0
Stellant 双筒CT注射系统,CT高压注射器,医学影像辅助设备,1,0,0,0,0
Terumo 高级灌注系统 One（心肺转流系统）,体外循环系统,心肺支持设备,1,0,0,0,0
Volista 吊顶式手术灯,手术无影灯,手术室照明设备,1,0,0,0,0
Xience V 依维莫司洗脱冠状动脉支架系统,药物洗脱冠脉支架,冠状动脉介入器械,1,0,0,0,0
Ankylos C/X 骨内根形种植体（B11 4.5/L11）,骨内牙种植体,口腔种植体,1,0,0,0,0
Aquacel 亲水性泡沫敷料,泡沫敷料,伤口敷料,1,0,0,0,0
Camlog 螺纹种植体 Promote Plus,骨内牙种植体,口腔种植体,1,0,0,0,0
CM Alvim 骨内牙种植体（3.5x13mm）,骨内牙种植体,口腔种植体,1,0,0,0,0
Cobas 8000 c 701 模块（临床化学分析仪）,全自动生化分析仪,临床检验分析设备,1,0,0,0,0
Contak Renewal 3 RF 植入式心脏再同步治疗除颤器（IS-1/DF-1/IS-1）,心脏再同步治疗除颤器,心脏节律管理设备,1,0,0,0,0
Devilbiss 制氧机,家用制氧机,呼吸支持设备,1,0,0,0,0
Elite 12cm 直柄附件（用于钻、磨、环钻等）,动力工具附件,手术动力系统,1,0,0,0,0
电动可调节病床（肥胖型）,医用病床,病房护理设备,1,0,0,0,0
髋关节假体内衬,髋关节假体,骨科植入物,1,0,0,0,0
BD 3ml 鲁尔锁注射器,注射器,注射/输液器械,1,0,0,0,0
尿道支撑系统,泌尿科植入物,泌尿外科器械,1,0,0,0,0
BD 胰岛素注射器（超细针头）,胰岛素注射器,胰岛素给药装置,1,0,0,0,0
BD 静脉留置针,静脉导管,血管通路器械,1,0,0,0,0
BD 血浆制备管（DNA检测用）,采血管,样本采集器械,1,0,0,0,0
CADD 输液泵,输液泵,输液/输注器械,1,0,0,0,0
骨内牙种植体（3.5x9mm）,牙种植体,口腔植入物,1,0,0,0,0
易测血糖仪套装,血糖监测系统,体外诊断设备,1,0,0,0,0
Hemolok 可植入结扎夹,结扎夹,外科植入物,1,0,0,0,0
通用外科手术包,手术包,手术器械包,1,0,0,0,0
髋关节假体（52mm）,髋关节假体,骨科植入物,1,0,0,0,0
聚丙烯疝修补网塞,疝修补网片,外科植入物,1,0,0,0,0
美敦力 Quick-set 胰岛素输注管路,胰岛素泵输注管路,胰岛素给药装置,1,0,0,0,0
美敦力 Quick-set 胰岛素输注管路（短款）,胰岛素泵输注管路,胰岛素给药装置,1,0,0,0,0
日本光电 NKV-550 系列呼吸机,有创呼吸机,呼吸治疗设备,1,0,0,0,0
诺瓦麦克斯加血糖监测仪,血糖监测系统,血糖管理设备,1,0,0,0,0
奥姆尼锥形EV 3.8x11毫米骨速种植体,牙科种植体,口腔植入物,1,0,0,0,0
稳豪II型血糖监测系统,血糖监测系统,血糖管理设备,1,0,0,0,0
普克西米特可重复装载直线切割器（带安全锁定）,外科吻合器,手术器械,1,0,0,0,0
R2P目的地细径导引导管鞘,导管导引鞘,介入导管,1,0,0,0,0
传感器导管用探针（胃肠泌尿科）,导管配件,泌尿/胃肠器械,1,0,0,0,0
赛特瑞特8型超声系统主机（翻新）,超声成像系统,医学影像设备,1,0,0,0,0
T:SLIM X2胰岛素泵（带互操作技术及T:CONNECT手机应用）,胰岛素输注泵,胰岛素给药装置,1,0,0,0,0
丹碧丝卫生棉条（版本/吸收度/香型未知）,女性卫生用品,个人护理用品,1,0,0,0,0
坦德胰岛素输注管路,胰岛素输注管路,胰岛素给药装置,1,0,0,0,0
细线II型斯特罗克斯植入式电极,植入式心脏电极,心脏植入物,1,0,0,0,0
未知型号德普髌骨假体,膝关节假体,骨科植入物,1,0,0,0,0
阿库麦克斯一次性钬激光光纤,激光手术器械,手术能量设备,1,0,0,0,0
AFX（未知器械）,未知类别,未知类别,1,0,0,0,0
阿罗中心静脉导管套装：三腔7Fr x 30厘米,中心静脉导管,血管内导管,1,0,0,0,0
ASR髋臼杯48毫米,髋关节假体,骨科植入物,1,0,0,0,0
奥托索尼克斯超声刀5毫米器械,超声手术刀,手术能量设备,1,0,0,0,0
床延长器9153650579,病床配件,医院家具,1,0,0,0,0
卡普苏瑞菲克斯诺维斯永久起搏电极,植入式心脏电极,心脏植入物,1,0,0,0,0
钴VR MRI安全扫描植入式心律转复除颤器,植入式除颤器,心脏植入物,1,0,0,0,0
爱德华经股动脉球囊导管,经导管主动脉瓣置换系统,心脏瓣膜介入器械,1,0,0,0,0
费雪派克鼻氧管,鼻导管/鼻氧管,呼吸治疗与通气支持,1,0,0,0,0
GE OEC 6600 移动式C形臂X射线机,移动式C形臂X射线机,X射线成像设备,1,0,0,0,0
哈基姆可调压阀带预置腔,脑室-腹腔分流系统,神经外科植入物,1,0,0,0,0
ICT 计算机断层扫描系统,CT扫描系统,X射线成像设备,1,0,0,0,0
INOmax DSIR Plus 一氧化氮输送系统,一氧化氮治疗仪,呼吸治疗与通气支持,1,0,0,0,0
Interlink 血管内输液装置,输液管路/输液装置,输液与注射器械,1,0,0,0,0
Maxcem Elite 牙科粘接剂,牙科粘接/粘固材料,口腔修复材料,1,0,0,0,0
Optium Xido 血糖仪,血糖监测系统,血糖监测与胰岛素管理,1,0,0,0,0
OT Select 血糖监测系统,血糖监测系统,血糖监测与胰岛素管理,1,0,0,0,0
Paradigm 实时胰岛素输注泵 MMT-722LNAB,胰岛素泵/输注系统,血糖监测与胰岛素管理,1,0,0,0,0
宾得线阵超声胃镜,超声内镜,内窥镜成像设备,1,0,0,0,0
Persona 股骨后稳定型打入器垫块,膝关节手术器械,骨科手术器械,1,0,0,0,0
PRECICE Stryde 髓内钉系统,髓内钉/髓内固定系统,骨科植入物,1,0,0,0,0
矢状锯附件（用于TRS系统）,骨科动力工具及附件,骨科手术器械,1,0,0,0,0
MMT-8400 持续葡萄糖监测模块软件（iOS版）,持续葡萄糖监测系统,血糖监测与胰岛素管理,1,0,0,0,0
S-ROM 髋关节股骨柄 ST型 36+8L NK 18x13x160,髋关节股骨柄,骨科植入物,1,0,0,0,0
Summit 标准植入物打入器,髋关节手术器械,骨科手术器械,1,0,0,0,0
Supera 股浅动脉支架,外周动脉支架,血管介入器械,1,0,0,0,0
关节镜配件,关节镜手术器械,骨科手术器械,1,0,0,0,0
人工晶体植入系统,眼科手术器械,眼科设备,1,0,0,0,0
血管封堵止血装置,血管止血装置,血管介入器械,1,0,0,0,0
可调压脑室腹腔分流阀带压力传感器,脑室腹腔分流系统,神经外科植入物,1,0,0,0,0
脉冲发生器,心脏起搏器,心脏节律管理设备,1,0,0,0,0
心血管介入通路系统,血管通路器械,心血管介入器械,1,0,0,0,0
一次性活检阀,内窥镜活检附件,内窥镜器械,1,0,0,0,0
硅胶旋转固定装置,导管固定装置,护理固定器械,1,0,0,0,0
可互操作胰岛素输注泵,胰岛素输注泵,胰岛素给药装置,1,0,0,0,0
三腔括约肌切开刀,内窥镜电外科器械,内窥镜器械,1,0,0,0,0
股骨近端防旋髓内钉刀片,髓内钉系统,骨科植入物,1,0,0,0,0
冰凝胶降温垫,物理降温装置,护理设备,1,0,0,0,0
血液透析机,血液透析设备,血液净化设备,1,0,0,0,0
锥形套筒适配器 12/14 +2,髋关节植入物,骨科植入物,1,0,0,0,0
钛锁定螺钉,脊柱内固定系统,骨科植入物,1,0,0,0,0
钛泰坦MAX EX种植体 (4.1)3.75x11毫米,牙种植体,口腔科植入物,1,0,0,0,0
Ti-Cron缝线,非吸收性合成缝线,手术缝线,1,0,0,0,0
VCL可吸收缝线 27英寸 5-0 带针,可吸收性合成缝线,手术缝线,1,0,0,0,0
下腔静脉滤器,血管滤器,血管介入器械,1,0,0,0,0
Versacross连接通路解决方案（用于Faradrive）,房间隔穿刺导管,心脏介入器械,1,0,0,0,0
白色钉仓（用于Echelon 60）,可植入吻合钉,外科吻合器,1,0,0,0,0
4.75 Healix Advance可吸收软组织固定钉,可吸收软组织固定系统,骨科植入物,1,0,0,0,0
Absolute Pro .035自膨式外周支架系统,自膨式外周支架,血管介入器械,1,0,0,0,0
角度冲洗附件,耳鼻喉手术钻头及附件,手术动力系统,1,0,0,0,0
BD BACTEC Plus 厌氧/F 培养瓶（塑料）,血培养系统,微生物检测设备,1,0,0,0,0
BD Eclipse 针头,皮下注射针,注射穿刺器械,1,0,0,0,0
C1 B+ 锥形种植体 D4.20 L8mm,牙种植体,口腔科植入物,1,0,0,0,0
CADD Solis HPCA 便携式输液泵,患者自控镇痛输液泵,输液泵,1,0,0,0,0
Clareon Toric 紫外线吸收型人工晶体,散光矫正型人工晶体,眼科植入物,1,0,0,0,0
Contak Renewal 2 心脏再同步治疗起搏器,心脏再同步治疗起搏器,心脏植入式电子设备,1,0,0,0,0
Dymic 动态植入物 SP 5x8,脊柱动态植入物,骨科植入物,1,0,0,0,0
EndoWrist 达芬奇Si 有孔双极镊,手术机器人器械,微创手术器械,1,0,0,0,0
核磁共振成像系统,磁共振成像系统,医学影像设备,1,0,0,0,0
胰岛素泵储药器,胰岛素输注泵配件,胰岛素给药装置,1,0,0,0,0
髋关节股骨试模,髋关节手术器械,骨科手术器械,1,0,0,0,0
HIV检测试剂盒,传染病检测试剂,体外诊断试剂,1,0,0,0,0
超声诊断系统,超声成像系统,医学影像设备,1,0,0,0,0
血栓抽吸导管系统,血管介入器械,介入治疗设备,1,0,0,0,0
双腔植入式心脏除颤器,植入式心脏除颤器,心脏节律管理设备,1,0,0,0,0
内镜用施夹钳,内镜手术器械,手术器械,1,0,0,0,0
经闭孔尿道中段悬吊带,盆底修复网片,泌尿妇科植入物,1,0,0,0,0
血管内超声导管,血管内超声导管,血管介入诊断器械,1,0,0,0,0
可回收下腔静脉滤器,腔静脉滤器,血管介入器械,1,0,0,0,0
盆底后路修复系统,盆底修复网片,泌尿妇科植入物,1,0,0,0,0
负压伤口治疗系统,负压治疗设备,伤口护理设备,1,0,0,0,0
可吸收缝合线,手术缝合线,手术耗材,1,0,0,0,0
经皮冠状动脉成形术导管,冠状动脉介入导管,血管介入器械,1,0,0,0,0
高清视频十二指肠镜,内窥镜,消化内镜系统,1,0,0,0,0
髋部骨螺钉 6.5mm×30mm,髋关节植入物,骨科植入物,1,0,0,0,0
S-ROM 金属股骨头 36mm +0,髋关节植入物,骨科植入物,1,0,0,0,0
S-ROM 金属股骨头 36mm +3,髋关节植入物,骨科植入物,1,0,0,0,0
造口保护器,造口护理用品,造口/失禁护理,1,0,0,0,0
Symbiq 3.13 单C型,输液泵,输液管理,1,0,0,0,0
通用模块化电动/电池双动力系统,手术动力系统,手术器械,1,0,0,0,0
未知品牌人工胰腺系统（单激素控制）,胰岛素泵/人工胰腺,糖尿病管理,1,0,0,0,0
未知品牌可吸收合成缝线（聚乙醇酸）,可吸收缝线,缝合材料,1,0,0,0,0
VCL+ 可吸收合成缝线 5-0,可吸收缝线,缝合材料,1,0,0,0,0
Velys 骨科锯手柄,骨科手术动力工具,骨科手术器械,1,0,0,0,0
Xive S Plus 牙种植体 D3.8/L11,牙种植体,口腔植入物,1,0,0,0,0
Amia 自动腹膜透析套装（含卡匣）,腹膜透析系统,透析治疗,1,0,0,0,0
Angioguard RX 栓塞保护装置,血管栓塞保护装置,血管介入器械,1,0,0,0,0
DreamStation Auto CPAP 呼吸机,持续气道正压通气设备,呼吸治疗设备,1,0,0,0,0
Echelon Flex 45 可植入吻合器,外科吻合器,手术器械,1,0,0,0,0
Essentio SR 植入式脉冲发生器（起搏器）,心脏起搏器,心脏节律管理,1,0,0,0,0
Gem VR 植入式心脏复律除颤器,植入式心脏除颤器,心脏节律管理,1,0,0,0,0
HeartStart SLA 电池,除颤器配件,急救设备,1,0,0,0,0
创伤骨固定板,骨固定板,骨科内固定器械,1,0,0,0,0
中枢神经系统分流管,神经外科分流系统,神经外科植入物,1,0,0,0,0
Valleylab电外科发生器,电外科发生器,高频电刀/电外科设备,1,0,0,0,0
Vaxcel PASV经外周中心静脉导管,中心静脉导管,血管通路器械,1,0,0,0,0
Advantage系列轮式担架,病人转运担架,病房/急救设备,1,0,0,0,0
AEX电外科发生器,电外科发生器,高频电刀/电外科设备,1,0,0,0,0
AIA-360临床荧光计,荧光分析仪,临床检验分析仪器,1,0,0,0,0
ASR髋臼杯48mm,髋臼杯,髋关节植入物,1,0,0,0,0
ASR全髋关节置换系统,全髋关节置换系统,髋关节植入物,1,0,0,0,0
Atlantis前路颈椎钢板系统,脊柱前路固定板,脊柱内固定器械,1,0,0,0,0
BD Surgiphor无菌伤口冲洗系统,伤口冲洗系统,伤口护理/冲洗器械,1,0,0,0,0
BLC 3.3mm骨内牙种植体,牙种植体,口腔种植器械,1,0,0,0,0
CADD-Solis便携式输液泵,便携式输液泵,输液泵/输注系统,1,0,0,0,0
小号股骨距磨锉,髋关节手术器械,骨科手术器械,1,0,0,0,0
Depuy ASR XL股骨假体45号,全髋关节置换系统,髋关节植入物,1,0,0,0,0
Evera AF MRI XT植入式心脏复律除颤器,植入式心脏除颤器,心脏节律管理设备,1,0,0,0,0
Jagwire导丝/导管导引丝,导丝/导管导引丝,泌尿/消化介入器械,1,0,0,0,0
Merlin.net/心衰门户植入式血流动力学监测系统,植入式血流动力学监测系统,心脏监测/植入式设备,1,0,0,0,0
Paradigm实时胰岛素输注泵MMT-522NAS,胰岛素输注泵,胰岛素给药装置,1,0,0,0,0
Paradigm实时胰岛素输注泵MMT-722NAL,胰岛素输注泵,胰岛素给药装置,1,0,0,0,0
HomeChoice 自动腹膜透析系统 115伏（翻新）,腹膜透析设备,透析治疗系统,1,0,0,0,0
HS1 除颤仪（日语版，交换用）,自动体外除颤器,心脏急救设备,1,0,0,0,0
OsseoSpeed 5.0×9mm 骨内牙种植体（根形）,牙种植体,口腔植入物,1,0,0,0,0
Pentax 纤维插管镜 2.4TP RO PLS,纤维插管镜,气道管理设备,1,0,0,0,0
Pentax 纤维插管镜 2.6C 5.1TP ROP,纤维插管镜,气道管理设备,1,0,0,0,0
编程软件,医疗软件,医疗信息技术,1,0,0,0,0
Renegade Hi-Flo 持续冲洗导管套件,持续冲洗导管,血管内导管,1,0,0,0,0
Resonance 输尿管支架套件,输尿管支架,泌尿科植入物,1,0,0,0,0
S5 MAST 滚压泵（心肺机部件）,心肺转流系统,体外循环设备,1,0,0,0,0
T型手柄（髋关节股骨假体组件，骨水泥型，金属）,髋关节假体组件,骨科植入物,1,0,0,0,0
TrueSpan 半月板修复系统 PEEK 24度（可吸收软组织锚钉）,半月板修复锚钉,运动医学植入物,1,0,0,0,0
UniCel DxC 600i Synchron Access 临床生化分析系统,生化分析仪,临床检验设备,1,0,0,0,0
未知品牌乳胶手套,检查手套,一次性防护用品,1,0,0,0,0
Xience Xpedition 冠状动脉药物洗脱支架,冠脉药物洗脱支架,心血管介入器械,1,0,0,0,0
Zio 监测仪（医用磁带记录器）,动态心电记录仪,心脏监测设备,1,0,0,0,0
3.0 RIO 机械臂（微创骨科手术系统）,骨科手术机器人,手术导航与机器人系统,1,0,0,0,0
适配器套筒 12/14 +2（髋关节股骨柄/套筒）,髋关节假体组件,骨科植入物,1,0,0,0,0
AIA-2000 临床用荧光计,荧光分析仪,临床检验设备,1,0,0,0,0
Bard Tegress 尿道填充剂,尿道填充剂,泌尿科植入物,1,0,0,0,0
BD 胰岛素注射器（带超细针头）,胰岛素注射器,注射器,1,0,0,0,0
C-QUR EDGE 外科聚合物补片,外科补片,外科植入物,1,0,0,0,0
CADD 带流量停止的储液盒,输液管路/给药装置,输液泵及附件,1,0,0,0,0
CM TITAMAX 钛种植体 3.5x11,牙科种植体,口腔植入物,1,0,0,0,0
COBALT XT VR MRI SURESCAN 植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,0,0,0,0
COMPACT AIR DRIVE II 骨科手术动力系统,骨科手术动力工具,骨科手术器械,1,0,0,0,0
D900 除颤仪,除颤器,急救及生命支持设备,1,0,0,0,0
DREAMSTATION BIPAP ST 双水平呼吸机,无创呼吸机,呼吸治疗设备,1,0,0,0,0
ELECSYS 2010 免疫化学分析仪,免疫分析仪,临床检验分析仪器,1,0,0,0,0
EVERCROSS 035 外周血管成形术导管,外周血管介入导管,血管介入器械,1,0,0,0,0
EXOSEAL 血管闭合装置,血管闭合器,血管介入器械,1,0,0,0,0
GM DRIVE ACQUA 钛种植体 4.3x11.5,牙科种植体,口腔植入物,1,0,0,0,0
GYNECARE TVT 耻骨后悬吊系统,盆底修复补片/系统,泌尿妇科植入物,1,0,0,0,0
HAMILTON-RAPHAEL 呼吸机,有创呼吸机,呼吸治疗设备,1,0,0,0,0
HANCOCK II 二尖瓣生物瓣膜,人工心脏瓣膜,心脏外科植入物,1,0,0,0,0
髋关节股骨头组件,髋关节假体组件,骨科植入物,1,0,0,0,0
HEARTSTART 自动体外除颤器,自动体外除颤器,急救及生命支持设备,1,0,0,0,0
HEARTSTART XL+ 除颤监护仪,除颤监护仪,急救及生命支持设备,1,0,0,0,0
HLS SET ADVANCED 心肺转流氧合器,体外循环氧合器,体外循环设备,1,0,0,0,0
隐适美隐形矫治系统,隐形矫治器,口腔正畸器械,1,0,0,0,0
MOMENTUM EL ICD DR 植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,0,0,0,0
Nucleus 24 人工耳蜗植入系统,人工耳蜗植入系统,听力植入器械,1,0,0,0,0
盆底修复套件（合成网片）,盆底修复网片,泌尿妇科植入物,1,0,0,0,0
PrimaConnex 锥形连接杆 4.1x10,脊柱内固定系统,骨科植入物,1,0,0,0,0
骨科立体定向钻套,骨科手术导航器械,骨科手术辅助设备,1,0,0,0,0
"骨内牙种植体 4.8mm WN, SLActive 10mm",牙种植体系统,口腔种植器械,1,0,0,0,0
T2 胫骨髓内钉,髓内钉系统,骨科植入物,1,0,0,0,0
经皮腔内血管成形术球囊扩张导管,外周血管球囊导管,血管介入器械,1,0,0,0,0
植入式心律转复除颤器（MRI兼容）,植入式心律转复除颤器,心脏节律管理设备,1,0,0,0,0
Autopulse 镍氢电池,心肺复苏机电池,急救设备配件,1,0,0,0,0
血管内输液延长管,输液管路,输液管理设备,1,0,0,0,0
胰酪大豆胨琼脂培养基（含5%羊血）,非选择性培养基,微生物检测试剂,1,0,0,0,0
心包生物瓣膜（二尖瓣）,人工心脏瓣膜,心脏外科植入物,1,0,0,0,0
外周经腔血管成形术导管,外周血管球囊导管,血管介入器械,1,0,0,0,0
胫骨关节面试模（左，EF尺寸）,膝关节手术器械,骨科手术器械,1,0,0,0,0
通用电池充电器II,电池及充电器,医疗设备配件,1,0,0,0,0
未知品牌胫骨垫片（DePuy）,膝关节假体组件,骨科植入物,1,0,0,0,0
3I T3非平台转换锥形种植体4x10mm,牙科种植体,口腔科植入物,1,0,0,0,0
ACCOLADE DR双腔起搏器,心脏起搏器,心脏节律管理设备,1,0,0,0,0
ARMADA外周扩张导管,外周血管扩张导管,介入性心血管器械,1,0,0,0,0
Auto Suture内镜夹持器L型,内镜手术夹持器,内镜手术器械,1,0,0,0,0
AXIUM 3D可解脱弹簧圈,血管内弹簧圈,神经介入器械,1,0,0,0,0
BD Alaris次级输液管路,输液管路,输液治疗器械,1,0,0,0,0
BD SafetyGlide安全针,安全注射针,注射与穿刺器械,1,0,0,0,0
Closure Top脊柱固定系统组件,脊柱内固定系统,骨科植入物,1,0,0,0,0
CURRENT+ DR双腔植入式心律转复除颤器,植入式心律转复除颤器,心脏节律管理设备,1,0,0,0,0
一次性FirstPass穿线器,手术穿线器,手术器械,1,0,0,0,0
Endopath Probe Plus II腹腔镜镜杆,腹腔镜,内窥镜手术器械,1,0,0,0,0
Excel股骨距磨锉（大号）,髋关节手术器械,骨科手术器械,1,0,0,0,0
牙科种植体（TSV 4.7x13mm MTX MG）,牙科种植体,口腔科植入物,1,0,0,0,0
Infuso.R注射泵,注射泵,输液泵,1,0,0,0,0
Optiflow Junior高流量氧疗鼻塞接口,高流量氧疗接口,呼吸治疗器械,1,0,0,0,0
Pleurx胸膜导管迷你套件,胸膜引流导管,引流器械,1,0,0,0,0
Runthrough NS导丝,导丝,介入性心血管器械,1,0,0,0,0
ENSEAL G2 弯钳 35厘米 电外科切割凝血器械,电外科切割凝血器械,高频电外科手术器械,1,0,0,0,0
EUPHORA RX 经腔冠状动脉成形术导管,冠状动脉介入导管,心血管介入器械,1,0,0,0,0
G2 股静脉入路下腔静脉滤器系统,下腔静脉滤器,血管介入器械,1,0,0,0,0
肠线可吸收缝合线,可吸收缝合线,手术缝合材料,1,0,0,0,0
HS III 近端封堵系统 4.3毫米 血管夹,血管夹/封堵系统,血管手术器械,1,0,0,0,0
IPC 手柄 - POWEREASE 驱动器 骨科钻/磨/环钻,骨科动力工具及附件,骨科手术器械,1,0,0,0,0
ISOFLEX S 起搏电极导线,心脏起搏电极导线,心脏节律管理器械,1,0,0,0,0
JRNY II CR 锁定型股骨植入物 右侧 半限制型骨水泥固定聚合物/金属膝关节假体,膝关节假体,骨科植入物,1,0,0,0,0
M2A-MAGNUM 42-50毫米 高交联聚乙烯内衬 髋关节假体,髋关节假体,骨科植入物,1,0,0,0,0
马里兰钳口腹腔镜用 37厘米 LigaSure 血管闭合系统,血管闭合系统,高频电外科手术器械,1,0,0,0,0
MTOME ST 支架/电缆,手术器械附件,通用手术器械,1,0,0,0,0
OUTBACK 再进入导管 慢性完全闭塞导管系统,CTO 再进入导管,心血管介入器械,1,0,0,0,0
PFC 校准型髌骨切割导向器 髌骨手柄/夹具,膝关节手术器械,骨科手术器械,1,0,0,0,0
飞利浦 HeartStart FRx 自动体外除颤器,自动体外除颤器,急救与生命支持设备,1,0,0,0,0
PROCEED 腹侧补片 聚合物外科补片,外科补片,疝修补材料,1,0,0,0,0
REVACLEAR 300 高通透析器,血液透析器,血液净化设备,1,0,0,0,0
RPL MMT-7821LME 发射器 GST4C 锁定 5升 有创葡萄糖传感器,有创血糖传感器,血糖监测系统,1,0,0,0,0
传感器 MMT-7020C4 GS3 5件装 2升 加拿大版 单激素控制人工胰腺系统,人工胰腺系统,胰岛素泵及闭环系统,1,0,0,0,0
传感器 MMT-7040QD3 Guardian 4 单件装 美国外 3 单激素自动胰岛素给药系统,自动胰岛素给药系统,胰岛素泵及闭环系统,1,0,0,0,0
SYNVISC ONE 关节腔内注射用透明质酸,关节腔注射用透明质酸,骨科生物制剂,1,0,0,0,0
胆道取石网篮/取石器,胆道取石器械,内窥镜手术器械,1,0,0,0,0
髋关节股骨柄（Summit 多孔锥形标准型）,髋关节假体,骨科植入物,1,0,0,0,0
锥形骨内种植体（4.0x11.5mm）,牙科种植体,口腔植入物,1,0,0,0,0
全自动分立式生化分析仪（UniCel DxC 800 Pro）,临床生化分析仪,体外诊断设备,1,0,0,0,0
脑深部电刺激器（帕金森病）,神经刺激器,神经调控植入物,1,0,0,0,0
根形骨内种植体（Xive S Plus，直径4.5mm/长度8mm）,牙科种植体,口腔植入物,1,0,0,0,0
气动植皮刀（Zimmer）,植皮器械,手术动力工具,1,0,0,0,0
根形骨内种植体（ANK C/X，直径3.5mm/长度8mm）,牙科种植体,口腔植入物,1,0,0,0,0
血糖试纸（Accu-Chek Comfort Curve）,血糖监测试纸,体外诊断试剂,1,0,0,0,0
分叉型覆膜支架（AFX2）,腹主动脉覆膜支架,血管介入植入物,1,0,0,0,0
单髁股骨假体（ASR，尺寸51）,膝关节假体,骨科植入物,1,0,0,0,0
自动体外除颤器（LIFEPAK 500，双相波）,自动体外除颤器,急救设备,1,0,0,0,0
钛合金骨内种植体（CM Alvim Acqua，3.5x11.5mm）,牙科种植体,口腔植入物,1,0,0,0,0
凝血酶原时间检测试纸（CoaguChek XS）,凝血检测试纸,体外诊断试剂,1,0,0,0,0
骨科手术动力系统（Colibri II，电池驱动）,骨科手术动力工具,手术动力系统,1,0,0,0,0
血管栓塞装置（Concerto，尼龙材质）,血管栓塞器械,血管介入器械,1,0,0,0,0
髋关节股骨柄（Coral2 标准型，尺寸10）,髋关节假体,骨科植入物,1,0,0,0,0
植入式心律转复除颤器（Evera S DR，非CRT）,植入式除颤器,心脏植入式电子设备,1,0,0,0,0
GPS 轮式担架,担架/转运床,病人转运设备,1,0,0,0,0
iDrive 可植入吻合钉,植入式吻合器/钉,外科植入物,1,0,0,0,0
颅内压及温度监测仪,颅内压监测系统,神经监测设备,1,0,0,0,0
J-VAC 伤口引流储液器,伤口引流系统,引流设备,1,0,0,0,0
Lamitrode 三极 16 触点脊髓刺激电极 60cm,脊髓刺激电极,神经刺激系统,1,0,0,0,0
Lubri-Sil 完整护理测温尿量计 Foley 导尿包,导尿包/套件,泌尿科耗材,1,0,0,0,0
M2a-Magnum 42-50mm 标准髋臼内衬,髋关节假体组件,关节置换植入物,1,0,0,0,0
Midas Rex Legend 带底座气动钻附件,气动钻/动力工具,手术动力系统,1,0,0,0,0
MIS 13cm 弯头附件,钻头/磨头/环钻及附件,手术动力系统,1,0,0,0,0
关节镜,内窥镜/关节镜,内窥镜设备,1,0,0,0,0
Narkomed 麻醉机,麻醉机/呼吸机,麻醉与呼吸设备,1,0,0,0,0
Navitor 经导管主动脉瓣假体,经导管主动脉瓣,心脏瓣膜植入物,1,0,0,0,0
Omnispan 12度半月板修复可吸收软组织锚钉,软组织锚钉/缝合锚,运动医学植入物,1,0,0,0,0
Quattrode 宽间距外周神经刺激电极 60cm,外周神经刺激电极,神经刺激系统,1,0,0,0,0
SM104 M系列带第五轮观察轮式担架,担架/转运床,病人转运设备,1,0,0,0,0
Summit 多孔锥形 7号高位偏距股骨柄,髋关节假体组件,关节置换植入物,1,0,0,0,0
TLX SP 4.5mm 右旋 SLA 8mm 骨内牙种植体,牙种植体/骨内植入物,口腔种植系统,1,0,0,0,0
Touareg-S 牙种植体 直径4.2mm 长度11.5mm,牙种植体/骨内植入物,口腔种植系统,1,0,0,0,0
Trinity 髋臼系统,髋关节假体组件,关节置换植入物,1,0,0,0,0
促甲状腺激素放射免疫测定试剂,激素检测试剂,体外诊断试剂,1,0,0,0,0
不可吸收软组织锚钉,软组织固定锚,骨科植入物,1,0,0,0,0
软性隐形眼镜（散光型，长戴型）,软性接触镜,眼科光学器械,1,0,0,0,0
心脏起搏器,心脏植入式电子设备,心脏节律管理设备,1,0,0,0,0
输液泵用输液管路,输液泵配件,输液管理设备,1,0,0,0,0
人绒毛膜促性腺激素检测试剂盒,免疫诊断试剂,体外诊断试剂,1,0,0,0,0
多孔型房间隔缺损封堵器,房间隔缺损封堵器,结构性心脏病介入器械,1,0,0,0,0
髋关节金属股骨头（32mm，+5mm）,髋关节假体组件,骨科植入物,1,0,0,0,0
左心室起搏电极（药物洗脱，MRI兼容）,心脏再同步治疗电极,心脏节律管理设备,1,0,0,0,0
牙种植体（直径3.4mm，长度10mm）,牙种植体,口腔科植入物,1,0,0,0,0
长期中心静脉导管（>30天）,中心静脉导管,血管内导管,1,0,0,0,0
神经外科气动钻手柄,动力工具手柄,手术动力系统,1,0,0,0,0
骨内牙种植体（直径4.2mm，长度8mm）,牙种植体,口腔科植入物,1,0,0,0,0
骨内牙种植体（钛合金，3.5mm×9mm）,牙种植体,口腔科植入物,1,0,0,0,0
髋关节钴铬钼内衬,髋关节假体组件,骨科植入物,1,0,0,0,0
